self_driving,safety_concern,carshare_level,rideshare_level,pevowner,income,householdvehicles,housing,parkingtype
Neutral,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Agree,Currently participating,Currently participating,Yes,Middle income,Three plus,Single family,Personal parking
No,Disagree,Not participating,Not participating,Yes,Middle income,Three plus,Apartment,Personal parking
No,Disagree,Not participating,Not participating,Yes,Middle income,Three plus,Single family,Personal parking
No,Agree,Not participating,Not participating,Yes,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,Yes,Middle income,Three plus,Mobile based home,Personal parking
Yes,Disagree,Currently participating,Not participating,Yes,Middle income,Three plus,Single family,Shared parking
Neutral,Neutral,Currently participating,Interested in participating,Yes,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Neutral,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Neutral,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Currently participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Neutral,Not participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Agree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Interested in participating,Not participating,No,Middle income,Three plus,Apartment,Shared parking
No,Neutral,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Agree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Three plus,Single family,Shared parking
Yes,Disagree,Interested in participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Middle income,Three plus,Apartment,Shared parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Agree,Not participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Agree,Interested in participating,Interested in participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
No,Neutral,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Three plus,Single family,Personal parking
